temp,grainRadius,igDiffCoeff,resolution,gbDiffCoeff,prefix,filename
1.0017,1.0852,5.4565,5.5804,9.9311,0,BISON_FGR50_0.csv
0.98557,1.5651,0.30801,4.706,6.7317,1,BISON_FGR50_1.csv
0.98906,1.1803,2.7965,0.61326,8.443,2,BISON_FGR50_2.csv
1.0448,0.7698,5.9314,2.9568,1.5232,3,BISON_FGR50_3.csv
0.99987,0.67038,1.1091,6.4345,9.4289,4,BISON_FGR50_4.csv
1.0487,1.4159,0.75924,4.927,9.2986,5,BISON_FGR50_5.csv
1.0041,0.88244,6.2653,1.176,0.31713,6,BISON_FGR50_6.csv
0.96012,1.2712,2.8721,8.6456,1.9308,7,BISON_FGR50_7.csv
0.97035,0.54074,2.0497,4.0372,4.5094,8,BISON_FGR50_8.csv
0.9938,0.7365,5.813,2.2782,8.0817,9,BISON_FGR50_9.csv
1.0148,0.93729,2.5262,5.2434,3.2902,10,BISON_FGR50_10.csv
1.0349,1.4854,3.2249,3.714,7.3482,11,BISON_FGR50_11.csv
0.97826,1.3591,4.6971,8.9589,6.4895,12,BISON_FGR50_12.csv
0.98105,0.79315,6.9039,6.5404,4.4283,13,BISON_FGR50_13.csv
1.0182,0.54954,9.022,2.6733,7.544,14,BISON_FGR50_14.csv
0.96376,0.81762,4.0292,5.7974,6.0799,15,BISON_FGR50_15.csv
0.954,0.57379,9.5945,6.8347,5.1936,16,BISON_FGR50_16.csv
0.9778,1.4502,5.3999,6.1208,4.9717,17,BISON_FGR50_17.csv
1.024,0.92707,7.3835,4.4052,9.0897,18,BISON_FGR50_18.csv
1.0023,1.206,4.0907,7.4565,2.6674,19,BISON_FGR50_19.csv
0.9829,0.69227,6.7114,7.7067,0.17125,20,BISON_FGR50_20.csv
0.96774,1.263,8.9736,7.1088,4.0719,21,BISON_FGR50_21.csv
0.95119,0.43984,5.0651,7.2538,1.0596,22,BISON_FGR50_22.csv
1.0286,0.46436,0.20859,5.8476,5.9982,23,BISON_FGR50_23.csv
0.97265,1.5913,7.1829,9.5471,5.7847,24,BISON_FGR50_24.csv
0.95822,1.0494,2.4667,0.4861,0.86114,25,BISON_FGR50_25.csv
0.9567,0.65048,1.7183,9.6175,8.8816,26,BISON_FGR50_26.csv
1.0204,1.1317,3.7278,1.4031,3.5108,27,BISON_FGR50_27.csv
1.0125,1.3319,0.91952,1.8707,7.7392,28,BISON_FGR50_28.csv
0.96488,1.5237,8.7896,2.8117,5.537,29,BISON_FGR50_29.csv
1.0381,1.3622,7.8546,3.1692,7.8745,30,BISON_FGR50_30.csv
1.0338,0.98421,7.5046,4.6346,4.7852,31,BISON_FGR50_31.csv
1.0362,0.95354,8.2273,0.98646,6.9419,32,BISON_FGR50_32.csv
1.01,0.42346,8.0413,9.3909,2.9199,33,BISON_FGR50_33.csv
1.04,0.59847,8.6135,3.6226,0.56827,34,BISON_FGR50_34.csv
0.99111,0.51492,2.2443,0.19852,7.1576,35,BISON_FGR50_35.csv
0.99436,1.1608,6.2202,1.9083,4.0397,36,BISON_FGR50_36.csv
1.0311,1.3873,3.5029,0.82786,1.41,37,BISON_FGR50_37.csv
1.0112,0.48871,1.3372,8.3697,1.1786,38,BISON_FGR50_38.csv
0.97586,1.0099,7.7439,2.1121,8.3916,39,BISON_FGR50_39.csv
0.96801,0.87059,4.299,1.5333,2.6795,40,BISON_FGR50_40.csv
1.0263,1.5401,0.53841,9.8311,3.1656,41,BISON_FGR50_41.csv
0.99774,0.83359,1.6686,3.3713,6.4235,42,BISON_FGR50_42.csv
1.0076,1.1078,9.3045,4.2379,3.6658,43,BISON_FGR50_43.csv
1.0471,1.2194,9.7822,8.4883,1.8073,44,BISON_FGR50_44.csv
0.95498,1.0365,9.8964,9.1609,9.7979,45,BISON_FGR50_45.csv
1.024,1.4798,4.5733,7.9212,2.1305,46,BISON_FGR50_46.csv
1.0164,0.63589,6.5123,5.2821,5.2998,47,BISON_FGR50_47.csv
1.0433,1.2953,3.464,6.6819,8.8063,48,BISON_FGR50_48.csv
0.98657,0.72365,4.8874,8.1116,2.3407,49,BISON_FGR50_49.csv
